Date,Description,Amount,Type,Category
02/02/2026,TA Stipend February,1200.00,INCOME,STIPEND
02/02/2026,Parents wire transfer,400.00,INCOME,FAMILY_SUPPORT
02/03/2026,Rent - February,950.00,EXPENSE,HOUSING
02/03/2026,Electricity bill,52.00,EXPENSE,UTILITIES
02/03/2026,Xfinity internet,45.00,EXPENSE,UTILITIES
02/04/2026,Trader Joe's grocery,67.50,EXPENSE,FOOD
02/05/2026,Chipotle,13.25,EXPENSE,FOOD
02/06/2026,Bus pass monthly,65.00,EXPENSE,TRANSPORTATION
02/07/2026,Amazon - notebook + pens,22.40,EXPENSE,EDUCATION
02/08/2026,Starbucks,6.75,EXPENSE,FOOD
02/09/2026,Walmart grocery,54.20,EXPENSE,FOOD
02/10/2026,CSUF library printing,4.50,EXPENSE,EDUCATION
02/11/2026,Spotify,9.99,EXPENSE,ENTERTAINMENT
02/12/2026,CVS pharmacy,18.30,EXPENSE,HEALTHCARE
02/13/2026,Uber to campus,9.50,EXPENSE,TRANSPORTATION
02/14/2026,Panda Express,11.80,EXPENSE,FOOD
02/15/2026,Freelance tutoring payment,120.00,INCOME,FREELANCE
02/16/2026,Trader Joe's,48.90,EXPENSE,FOOD
02/17/2026,Gym membership,25.00,EXPENSE,PERSONAL_CARE
02/18/2026,H&M - winter jacket,42.00,EXPENSE,SHOPPING
02/19/2026,McDonald's,8.40,EXPENSE,FOOD
02/20/2026,Netflix,15.49,EXPENSE,ENTERTAINMENT
02/21/2026,Uber to airport,24.00,EXPENSE,TRANSPORTATION
02/22/2026,Walgreens - cold medicine,14.20,EXPENSE,HEALTHCARE
02/23/2026,Domino's pizza,16.50,EXPENSE,FOOD
02/24/2026,Target - home essentials,38.70,EXPENSE,SHOPPING
02/25/2026,Starbucks,6.75,EXPENSE,FOOD
02/26/2026,Laundry - campus laundromat,12.00,EXPENSE,PERSONAL_CARE
02/27/2026,Chegg subscription,14.95,EXPENSE,EDUCATION
02/28/2026,Freelance tutoring payment,80.00,INCOME,FREELANCE
03/01/2026,TA Stipend March,1200.00,INCOME,STIPEND
03/01/2026,Parents wire transfer,400.00,INCOME,FAMILY_SUPPORT
03/02/2026,Rent - March,950.00,EXPENSE,HOUSING
03/02/2026,Electricity bill,48.00,EXPENSE,UTILITIES
03/03/2026,Xfinity internet,45.00,EXPENSE,UTILITIES
03/04/2026,Trader Joe's grocery,72.30,EXPENSE,FOOD
03/05/2026,Uber to campus,8.50,EXPENSE,TRANSPORTATION
03/06/2026,Chipotle,13.75,EXPENSE,FOOD
03/07/2026,CSUF parking permit,40.00,EXPENSE,TRANSPORTATION
03/08/2026,Amazon textbook rental,35.00,EXPENSE,EDUCATION
03/09/2026,Starbucks,6.75,EXPENSE,FOOD
03/10/2026,CVS pharmacy,22.10,EXPENSE,HEALTHCARE
03/11/2026,Walmart grocery,58.40,EXPENSE,FOOD
03/12/2026,Spotify,9.99,EXPENSE,ENTERTAINMENT
03/13/2026,Uber eats - late night,19.50,EXPENSE,FOOD
03/14/2026,Gym membership,25.00,EXPENSE,PERSONAL_CARE
03/15/2026,Freelance tutoring payment,150.00,INCOME,FREELANCE
03/16/2026,H&M - spring clothes,55.00,EXPENSE,SHOPPING
03/17/2026,Trader Joe's,61.80,EXPENSE,FOOD
03/18/2026,Netflix,15.49,EXPENSE,ENTERTAINMENT
03/19/2026,McDonald's,9.20,EXPENSE,FOOD
03/20/2026,Walgreens - vitamins,16.40,EXPENSE,HEALTHCARE
03/21/2026,Lyft to friend's place,11.00,EXPENSE,TRANSPORTATION
03/22/2026,Starbucks,6.75,EXPENSE,FOOD
03/23/2026,Target - cleaning supplies,29.60,EXPENSE,SHOPPING
03/24/2026,Domino's pizza,14.99,EXPENSE,FOOD
03/25/2026,Laundry,12.00,EXPENSE,PERSONAL_CARE
03/26/2026,Steam game sale,19.99,EXPENSE,ENTERTAINMENT
03/27/2026,Chegg subscription,14.95,EXPENSE,EDUCATION
03/28/2026,Uber to campus,9.00,EXPENSE,TRANSPORTATION
03/29/2026,Trader Joe's,44.20,EXPENSE,FOOD
03/30/2026,Phone bill - T-Mobile,45.00,EXPENSE,UTILITIES
03/31/2026,Freelance tutoring payment,100.00,INCOME,FREELANCE
04/01/2026,TA Stipend April,1200.00,INCOME,STIPEND
04/01/2026,Parents wire transfer,400.00,INCOME,FAMILY_SUPPORT
04/02/2026,Rent - April,950.00,EXPENSE,HOUSING
04/02/2026,Electricity bill,44.00,EXPENSE,UTILITIES
04/03/2026,Xfinity internet,45.00,EXPENSE,UTILITIES
04/04/2026,Trader Joe's grocery,68.90,EXPENSE,FOOD
04/05/2026,Starbucks,6.75,EXPENSE,FOOD
04/06/2026,Bus pass monthly,65.00,EXPENSE,TRANSPORTATION
04/07/2026,Chipotle,14.25,EXPENSE,FOOD
04/08/2026,CSUF exam registration fee,25.00,EXPENSE,EDUCATION
04/09/2026,Amazon - lab supplies,31.50,EXPENSE,EDUCATION
04/10/2026,Walmart grocery,55.70,EXPENSE,FOOD
04/11/2026,Spotify,9.99,EXPENSE,ENTERTAINMENT
04/12/2026,CVS pharmacy,11.80,EXPENSE,HEALTHCARE
04/13/2026,Uber to campus,8.00,EXPENSE,TRANSPORTATION
04/14/2026,Panda Express,12.50,EXPENSE,FOOD
04/15/2026,Freelance tutoring payment,130.00,INCOME,FREELANCE
04/16/2026,Trader Joe's,53.40,EXPENSE,FOOD
04/17/2026,Gym membership,25.00,EXPENSE,PERSONAL_CARE
04/18/2026,Netflix,15.49,EXPENSE,ENTERTAINMENT
04/19/2026,McDonald's,8.90,EXPENSE,FOOD
04/20/2026,H&M - casual wear,38.00,EXPENSE,SHOPPING
04/21/2026,Walgreens - toiletries,21.30,EXPENSE,PERSONAL_CARE
04/22/2026,Starbucks,6.75,EXPENSE,FOOD
04/23/2026,Lyft to grocery store,7.50,EXPENSE,TRANSPORTATION
04/24/2026,Domino's pizza,15.99,EXPENSE,FOOD
04/25/2026,Target - misc household,33.20,EXPENSE,SHOPPING
04/26/2026,Laundry,12.00,EXPENSE,PERSONAL_CARE
04/27/2026,Chegg subscription,14.95,EXPENSE,EDUCATION
04/28/2026,Phone bill - T-Mobile,45.00,EXPENSE,UTILITIES
04/29/2026,Uber eats - study night,22.00,EXPENSE,FOOD
04/30/2026,Steam - indie game,12.99,EXPENSE,ENTERTAINMENT
